app_turned_on,app_users_fraction,rng_seed,study_name,iteration,predicted_relative_transmission_occupation,predicted_relative_transmission_random,predicted_test_result_wait,manual_trace_on,manual_trace_delay,manual_trace_n_workers_per_100k,predicted_lockdown_occupation_multiplier_primary_network,predicted_lockdown_occupation_multiplier_secondary_network,manual_trace_exclude_app_users
1,0.8,90,en_0.8_9,9,,,,,,,,,
1,1.0,0,en_1.0_0,0,,,,,,,,,
1,1.0,10,en_1.0_1,1,,,,,,,,,
1,1.0,20,en_1.0_2,2,,,,,,,,,
1,1.0,30,en_1.0_3,3,,,,,,,,,
1,1.0,40,en_1.0_4,4,,,,,,,,,
1,1.0,50,en_1.0_5,5,,,,,,,,,
1,1.0,60,en_1.0_6,6,,,,,,,,,
1,1.0,70,en_1.0_7,7,,,,,,,,,
1,1.0,80,en_1.0_8,8,,,,,,,,,
1,1.0,90,en_1.0_9,9,,,,,,,,,
1,0.0,0,en_0.0_social_dist_0.4_0,0,0.4,0.4,,,,,,,
1,0.0,10,en_0.0_social_dist_0.4_1,1,0.4,0.4,,,,,,,
1,0.0,20,en_0.0_social_dist_0.4_2,2,0.4,0.4,,,,,,,
1,0.0,30,en_0.0_social_dist_0.4_3,3,0.4,0.4,,,,,,,
1,0.0,40,en_0.0_social_dist_0.4_4,4,0.4,0.4,,,,,,,
1,0.0,50,en_0.0_social_dist_0.4_5,5,0.4,0.4,,,,,,,
1,0.0,60,en_0.0_social_dist_0.4_6,6,0.4,0.4,,,,,,,
1,0.0,70,en_0.0_social_dist_0.4_7,7,0.4,0.4,,,,,,,
1,0.0,80,en_0.0_social_dist_0.4_8,8,0.4,0.4,,,,,,,
1,0.0,90,en_0.0_social_dist_0.4_9,9,0.4,0.4,,,,,,,
1,0.0,0,en_0.0_social_dist_0.6_0,0,0.6,0.6,,,,,,,
1,0.0,10,en_0.0_social_dist_0.6_1,1,0.6,0.6,,,,,,,
1,0.0,20,en_0.0_social_dist_0.6_2,2,0.6,0.6,,,,,,,
1,0.0,30,en_0.0_social_dist_0.6_3,3,0.6,0.6,,,,,,,
1,0.0,40,en_0.0_social_dist_0.6_4,4,0.6,0.6,,,,,,,
1,0.0,50,en_0.0_social_dist_0.6_5,5,0.6,0.6,,,,,,,
1,0.0,60,en_0.0_social_dist_0.6_6,6,0.6,0.6,,,,,,,
1,0.0,70,en_0.0_social_dist_0.6_7,7,0.6,0.6,,,,,,,
1,0.0,80,en_0.0_social_dist_0.6_8,8,0.6,0.6,,,,,,,
1,0.0,90,en_0.0_social_dist_0.6_9,9,0.6,0.6,,,,,,,
1,0.0,0,en_0.0_social_dist_0.8_0,0,0.8,0.8,,,,,,,
1,0.0,10,en_0.0_social_dist_0.8_1,1,0.8,0.8,,,,,,,
1,0.0,20,en_0.0_social_dist_0.8_2,2,0.8,0.8,,,,,,,
1,0.0,30,en_0.0_social_dist_0.8_3,3,0.8,0.8,,,,,,,
1,0.0,40,en_0.0_social_dist_0.8_4,4,0.8,0.8,,,,,,,
1,0.0,50,en_0.0_social_dist_0.8_5,5,0.8,0.8,,,,,,,
1,0.0,60,en_0.0_social_dist_0.8_6,6,0.8,0.8,,,,,,,
1,0.0,70,en_0.0_social_dist_0.8_7,7,0.8,0.8,,,,,,,
1,0.0,80,en_0.0_social_dist_0.8_8,8,0.8,0.8,,,,,,,
1,0.0,90,en_0.0_social_dist_0.8_9,9,0.8,0.8,,,,,,,
1,0.0,0,en_0.0_social_dist_1.0_0,0,1.0,1.0,,,,,,,
1,0.0,10,en_0.0_social_dist_1.0_1,1,1.0,1.0,,,,,,,
1,0.0,20,en_0.0_social_dist_1.0_2,2,1.0,1.0,,,,,,,
