county_fips,n_seed_infection,infectious_rate,seeding_date_delta,lockdown_scalars,changepoint_scalars,population_0_9,population_10_19,population_20_29,population_30_39,population_40_49,population_50_59,population_60_69,population_70_79,population_80,n_total,household_size_1,household_size_2,household_size_3,household_size_4,household_size_5,household_size_6
53033,30.0,5.1,27.0,"1.0,0.8458257092344333,0.8530554084310972,0.8614665618118779,0.80728267063634,0.784102769369955,0.8041726685815735,0.9003644506704463,0.8133634522145399,0.7890246547418561,0.8008255423717445,0.7943381864168728,0.7362201308322904,0.6419637303544063,0.6937850183578813,0.7062214173004961,0.5340461919711778,0.5063045235446572,0.4649184897327695,0.46173104746709404,0.45046628335354594,0.4033630494882889,0.386567201907768,0.33271252451438477,0.31117008031900695,0.2682402448522529,0.25706775613737887,0.26489976661118064,0.27670642642951065,0.2740004244880649,0.28080223865371867,0.3103501376335208,0.2792976348026605,0.27896806274674035,0.29153348005307494,0.2921808940164499,0.3106414672823402,0.3029844669082095,0.3204923902320506,0.31507807747378247,0.3036280062071593,0.33073157578820395,0.27422926853832863,0.3176358071539707,0.31996284833747374,0.3591189198868677,0.3487272025924689,0.3254055310701976,0.3390767935267627,0.3749888819025505,0.36149297455002305,0.33131676954099754,0.3205481084372609,0.32886844605322635,0.32460614268332316,0.3553126990202473,0.3918149040957525,0.36547188337153924,0.3762100115888294,0.38373157121026136,0.37826415431833005,0.39939767545346344,0.3846052947687452,0.4394427834474601,0.4192232054183201,0.4522389688668723,0.409284293085721,0.4375216664400917,0.452430844372312,0.5872471258979983,0.6451610583221257,0.4203846758879699,0.40394560263073787,0.4285210067519345,0.4116587591002366,0.42740964153183797,0.44197315162749506,0.4999847070179793,0.44298905679322553,0.43636109828955455,0.43630917513237716,0.44677225525307296,0.4725484736111136,0.5673405199069842,0.6071638299014355,0.324440965208101,0.4872344071793286,0.5072641399210325,0.5056501166081586,0.49537316634325823,0.47998708622116915,0.5867663357743056,0.5581955687771843,0.5032971735583611,0.5500749886894962,0.5381175752323488,0.5286754426488958,0.628395199582704,0.658610735089525,0.5416191705126361,0.4925024911637415,0.5474759115629075,0.5480229823331889,0.5319903374892426,0.6260804856706085,0.726992577695481,0.5409933060527765,0.5531202493479251,0.5894692857540466,0.6119055301081662,0.6207783258702917,0.7141695217436679,0.8189126484107606,0.6195407952071993,0.5864358481298739,0.5989312958967768,0.6322773214099824,0.5968650912838428,0.6862418826941364,0.7880787987319496,0.6145262894322575,0.6081315538804267,0.6671380487866694,0.7316605000453481,0.6294377762398545,0.5817275469997126,0.8092546757877859,0.6269636172327824,0.5811373639530016,0.6085612170108649,0.5962647040695189,0.6112214129879415","1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.99999976,0.9999981,0.99998915,0.99989426,0.9993038,0.9968595,0.9869055,0.9583875,0.92156726,0.8832767,0.8543031,0.8308939,0.81462353,0.7999654,0.7872288,0.7766864,0.76803565,0.76088834,0.75616527,0.75068736,0.74641025,0.74349767,0.740088,0.7383175,0.7367529,0.7356839,0.7350616,0.73431563,0.7335588,0.73329717,0.7330837,0.7330729,0.7328347,0.73260194,0.732494,0.7324209,0.7323586,0.73230326,0.73216546,0.73211575,0.7319937,0.7319734,0.73181605,0.7317901,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317885,0.7317054,0.7317054,0.7317054,0.7317054,0.7316194,0.7316194,0.7316036,0.731565,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.73153794,0.7315259,0.7313702,0.7313702,0.73118675,0.73109984,0.73109984,0.73109984,0.7310293,0.73098,0.7308445,0.7306876,0.73050874,0.7304316,0.7303984,0.7302203,0.73017645,0.73017645,0.7301605,0.7300091,0.7300091",375616,371409,402657,443376,453102,391185,225144,114740,82132,2859361,376396,381053,180852,152614,59489,40515
53035,,,,,,53293,58318,57096,48419,64559,62330,43213,20017,12676,419921,52329,60406,26415,21017,8777,5992
53037,,,,,,8826,10628,12922,8360,10497,12104,9489,5133,3770,81729,14399,12664,5126,3598,1403,784
53039,,,,,,5236,5659,3966,4501,5394,6635,4769,2753,1540,40453,4830,6778,2150,1768,911,611
53041,,,,,,19432,19861,14631,15444,19375,21703,17581,9812,5759,143598,16272,21292,8562,6580,3351,2397
53043,,,,,,2603,2884,2029,2148,2793,3309,2841,1640,890,21137,2480,3829,1090,837,403,354
53045,,,,,,13047,13944,10924,11247,14483,17719,14117,8865,4838,109184,15552,17580,6113,4352,2340,1679
53047,,,,,,10371,11016,10942,8783,10931,12490,9820,5414,3589,83356,11267,13159,4452,3583,1827,1327
53049,,,,,,4354,4593,3825,3878,5499,7155,6428,3642,2170,41544,6800,8130,2046,1438,742,435
53051,,,,,,2563,2859,1872,2166,2881,3341,2822,1596,807,20907,2792,3623,1117,800,459,301
